taxon	(Intercept)	Water.TreatmentAcetic	Water.TreatmentCitric
Morganellaceae	7.68983583499025e-15	1	1
Alcaligenaceae	4.63559292161445e-148	1	1
Sphingobacteriaceae	1.6145121403875e-38	1	1
Bacteroidaceae	1.39086878397561e-23	1	6.76635388741189e-07
Paenibacillaceae	1.19378344328002e-08	1	1
Staphylococcaceae	0	1	1
Ruminococcaceae	2.17480385702713e-222	1	0.0540994591169439
Clostridia_UCG-014	1.68285445312743e-131	1	0.0812144641675367
Lachnospiraceae	2.94504206293604e-195	1	0.0379003275135933
Enterobacteriaceae	4.48739679344753e-19	1	1
Pseudomonadaceae	0.00256967316206582	1	1
Aerococcaceae	0	1	0.896123963882489
Streptococcaceae	4.70930643873881e-281	1	1
Leuconostocaceae	7.56988908412451e-145	1	1
Bacillaceae	0	1	1
Carnobacteriaceae	1.02985590774817e-159	1	1
Flavobacteriaceae	4.36026566938651e-25	1	8.38160880141018e-06
Enterococcaceae	0	1	1
Dermabacteraceae	0	1	1
Corynebacteriaceae	0	1	1
Brevibacteriaceae	1.7033735127333e-258	1	1
Aeromonadaceae	5.39200576389924e-07	1	1
Moraxellaceae	1.5531504189107e-14	1	1
uncultured	0.00221698793449252	1	1
Devosiaceae	3.06921393917723e-07	1	1
Caulobacteraceae	0.0215746004171218	1	1
Clostridia_vadinBB60_group	1.86609139223645e-07	1	1
Pasteurellaceae	4.24046648936078e-13	1	1
Micrococcaceae	7.7262568168121e-265	1	1
Bifidobacteriaceae	3.19391902308096e-222	1	1
Corynebacteriales_Incertae_Sedis	0.000513471350588483	1	1
Dietziaceae	2.66847992967311e-21	0.188894246099711	1.56718541209879e-05
Gastranaerophilales	3.19391902308096e-222	1	1
Eggerthellaceae	1	0.908186363211238	0.00661503375965863
Planococcaceae	3.48704322372099e-41	1	1
Lactobacillaceae	4.0729025895082e-305	1	1
RF39	3.95578757809598e-38	1	1
Oscillospiraceae	1.02161191264929e-31	1	0.0112804955690968
Peptostreptococcaceae	2.87998915598201e-85	1	1
Erysipelatoclostridiaceae	8.56179750093078e-57	1	0.000398909103336833
UCG-010	2.94045194854678e-15	1	1
[Eubacterium]_coprostanoligenes_group	7.15288400920811e-41	1	0.00489599222112893
Butyricicoccaceae	8.11839279768862e-20	1	0.000236946388078443
Salisediminibacteriaceae	9.86803597021032e-58	0.2610179217214	1
Dermatophilaceae	3.27522396967732e-14	1	1
Anaerofustaceae	1.45268388118458e-37	1	1
Peptococcaceae	3.19391902308096e-222	1	0.167042220166302
Erysipelotrichaceae	3.32560463251726e-19	1	0.732245383505302
Izemoplasmatales	3.27522396967732e-14	1	1
Acholeplasmataceae	3.19391902308096e-222	0.0463369351123545	0.000417638717161814
