taxon	(Intercept)	Water.TreatmentAcetic	Water.TreatmentCitric	Litter.TreatmentCompost	Litter.TreatmentFormicAcidSalt
Morganellaceae	1.06423638048651e-80	1	1	1	1
Alcaligenaceae	8.33273949920104e-108	1	1	1	1
Sphingobacteriaceae	1.06961157220758e-97	1	1	1	1
Bacteroidaceae	4.91586482807924e-16	1	1	1	1
Paenibacillaceae	8.59267066901569e-32	1	1	1	1
Staphylococcaceae	0	1	1	1	1
Ruminococcaceae	1.0481141863254e-139	1	1	1	1
Clostridia_UCG-014	3.06661735124894e-88	1	1	1	1
Lachnospiraceae	4.38260234010286e-125	1	1	1	1
Enterobacteriaceae	5.69714212827893e-94	1	1	0.0985348697971938	1
Pseudomonadaceae	5.31850667769375e-24	1	1	1	1
Aerococcaceae	0	1	1	0.858924570132991	1
Streptococcaceae	0	1	1	1	1
Leuconostocaceae	0	1	1	1	1
Bacillaceae	0	1	1	0.120330503140289	1
Carnobacteriaceae	5.71870689084379e-261	1	1	0.00830664955862123	1
Flavobacteriaceae	9.69191687473105e-12	1	1	1	1
Enterococcaceae	0	1	1	1	1
Dermabacteraceae	0	1	1	1	1
Corynebacteriaceae	0	1	1	0.0312821748280298	1
Brevibacteriaceae	0	1	1	1	1
Rhizobiaceae	0.0483866696600671	1	1	1	1
Caulobacteraceae	6.16791595458272e-08	1	1	1	1
Micrococcaceae	7.9236843549503e-252	1	1	1	1
Nocardiopsaceae	1.96331012973446e-18	1	1	1	1
Dietziaceae	1.14323836078963e-08	1	1	1	1
Microbacteriaceae	6.63635354076414e-05	1	1	1	1
Chloroplast	7.34935503301334e-08	1	0.761272038668808	1	1
Eggerthellaceae	0.000261595660107056	1	1	1	1
Wohlfahrtiimonadaceae	1	0.0114225837498685	0.889717962222891	1	1
Planococcaceae	2.67669918698791e-178	1	1	0.858924570132991	1
Lactobacillaceae	0	1	1	1	1
Peptostreptococcales-Tissierellales	2.58698503176333e-08	1	1	0.124110784093703	1
RF39	3.21520726560164e-21	1	1	1	1
Oscillospiraceae	6.18434375395987e-47	1	1	1	1
Peptostreptococcaceae	1.3533563553339e-106	1	1	1	1
Erysipelatoclostridiaceae	3.21376697781496e-75	1	1	1	1
Clostridiaceae	0.00382976248001595	1	1	1	1
[Eubacterium]_coprostanoligenes_group	1.21274501778425e-20	1	1	1	1
Butyricicoccaceae	6.19732918686682e-41	1	1	1	1
Christensenellaceae	6.63635354076414e-05	1	1	1	1
Hungateiclostridiaceae	0.0313576459029541	1	1	1	1
Erysipelotrichaceae	2.09967095217935e-16	1	1	1	1
Izemoplasmatales	0.0111217107572668	1	1	1	1
